Date,AM,CE,RJ,SP,total
2020-03-17,0,0,0,1,1
2020-03-18,0,0,0,4,4
2020-03-19,0,0,2,5,7
2020-03-20,0,0,2,9,11
2020-03-21,0,0,3,15,18
2020-03-22,0,0,3,22,25
2020-03-23,0,0,4,30,34
2020-03-24,0,0,6,40,46
2020-03-25,1,0,8,48,59
2020-03-26,1,3,9,58,77
2020-03-27,1,3,9,68,91
2020-03-28,1,3,13,84,114
2020-03-29,1,3,17,98,135
2020-03-30,1,3,18,113,162
2020-03-31,3,3,23,136,199
2020-04-01,3,9,23,164,238
2020-04-02,5,21,41,208,319
2020-04-03,7,22,47,219,362
2020-04-04,12,22,58,260,433
2020-04-05,14,26,64,275,486
2020-04-06,19,29,71,304,553
2020-04-07,23,31,89,371,667
2020-04-08,30,43,106,428,800
